Filename,Touches
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpJob.java,21
gpslogger/src/main/java/com/mendhak/gpslogger/senders/googledrive/GoogleDriveJob.java,24
gpslogger/src/main/java/com/mendhak/gpslogger/senders/osm/OSMJob.java,18
gpslogger/src/main/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudJob.java,28
gpslogger/src/main/java/com/mendhak/gpslogger/senders/sftp/SFTPJob.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/LoggingSettingsFragment.java,15
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/SFTPSettingsFragment.java,9
gpslogger/src/main/res/values-ar/strings.xml,32
gpslogger/src/main/res/values-da/strings.xml,35
gpslogger/src/main/res/values-es-rPE/strings.xml,14
gpslogger/src/main/res/values-fil/strings.xml,7
gpslogger/src/main/res/values-hu/strings.xml,43
gpslogger/src/main/res/values-id/strings.xml,23
gpslogger/src/main/res/values-no/strings.xml,29
gpslogger/src/main/res/values-pt-rBR/strings.xml,48
gpslogger/src/main/res/values-pt-rPT/strings.xml,27
gpslogger/src/main/res/values-sk/strings.xml,49
gpslogger/src/main/res/values-vi/strings.xml,25
gpslogger/src/main/res/values/styles.xml,13
gpslogger/src/main/res/xml/fileprovider.xml,4
gpslogger/src/main/res/xml/pref_logging.xml,23
gpslogger/src/main/res/xml/pref_performance.xml,17
gpslogger/src/main/res/xml/sftpsettings.xml,6
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/GeneralSettingsFragment.java,14
assets/text/faq/faq03-no-point-logged.md,5
assets/text/faq/faq08-what-settings-mean.md,3
gpslogger/src/main/res/layout/customurl_basicauthview.xml,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/csv/CSVFileLogger.java,14
assets/text/faq/faq16-custom-url.md,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlRequest.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/geojson/GeoJSONWriterPoints.java,10
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/geojson/GeoJSONLoggerTest.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/common/Session.java,30
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlRequest.kt,10
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/AutoEmailFragment.java,12
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlRequestTest.kt,8
assets/text/opensource.md,6
docs/gps-fix-details.html,10
docs/opensourcelibraries.html,10
docs/privacypolicy.html,13
gpslogger/proguard-rules.txt,15
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlRequestJava.java,2
gpslogger/src/main/res/values-af/strings.xml,11
gpslogger/src/main/res/values-cy/strings.xml,5
gpslogger/src/main/res/values-el/strings.xml,10
gpslogger/src/main/res/values-es-rCO/strings.xml,2
gpslogger/src/main/res/values-es-rVE/strings.xml,2
gpslogger/src/main/res/values-fa/strings.xml,14
gpslogger/src/main/res/values-fi/strings.xml,28
gpslogger/src/main/res/values-fr-rCA/strings.xml,7
gpslogger/src/main/res/values-gl/strings.xml,4
gpslogger/src/main/res/values-he/strings.xml,12
